Date,Open,High,Low,Close,Adj Close,Volume
8/20/20,0.69,0.72,0.69,0.71,0.71,2060027
8/19/20,0.677,0.699,0.677,0.68,0.68,322145
8/18/20,0.69,0.69,0.681,0.683,0.683,493200
8/17/20,0.67,0.699,0.66,0.699,0.699,1429412
8/16/20,0.66,0.67,0.656,0.67,0.67,325796
8/13/20,0.64,0.669,0.64,0.65,0.65,1548542
12/8/20,0.61,0.639,0.61,0.63,0.63,1680356
11/8/20,0.6,0.61,0.6,0.61,0.61,175000
10/8/20,0.6,0.611,0.6,0.61,0.61,327000
9/8/20,0.592,0.63,0.592,0.609,0.609,875900
6/8/20,0.6,0.63,0.598,0.6,0.6,821045
5/8/20,0.59,0.6,0.584,0.584,0.584,123256
4/8/20,0.58,0.581,0.58,0.581,0.581,9301
3/8/20,0.592,0.592,0.592,0.592,0.592,11183
7/29/20,0.592,0.592,0.592,0.592,0.592,800000
7/28/20,0,0,0,0.592,0.592,0
7/27/20,0.6,0.6,0.59,0.592,0.592,420990
7/26/20,0.59,0.607,0.59,0.607,0.607,3355243
7/23/20,0.599,0.599,0.59,0.59,0.59,101000
7/22/20,0.59,0.599,0.58,0.599,0.599,116350
7/21/20,0.59,0.599,0.581,0.599,0.599,180975
7/20/20,0.588,0.59,0.588,0.59,0.59,54100
7/19/20,0.589,0.589,0.589,0.589,0.589,5000
7/16/20,0.583,0.59,0.583,0.583,0.583,154526
7/15/20,0.582,0.59,0.58,0.585,0.585,423965
7/14/20,0.58,0.584,0.58,0.584,0.584,47000
7/13/20,0.585,0.59,0.585,0.59,0.59,59600
12/7/20,0.591,0.591,0.585,0.59,0.59,682383
9/7/20,0.6,0.6,0.6,0.6,0.6,1500
8/7/20,0.6,0.6,0.591,0.591,0.591,28562
7/7/20,0.6,0.609,0.6,0.6,0.6,7100803
6/7/20,0.59,0.6,0.581,0.6,0.6,109180
5/7/20,0.596,0.596,0.58,0.58,0.58,240847
2/7/20,0.581,0.581,0.581,0.581,0.581,4140
1/7/20,0,0,0,0.6,0.6,0
6/30/20,0.59,0.6,0.59,0.6,0.6,140239
6/29/20,0.605,0.61,0.59,0.6,0.6,105000
6/28/20,0.571,0.619,0.571,0.6,0.6,260000
6/25/20,0,0,0,0.586,0.586,0
6/24/20,0.598,0.6,0.586,0.586,0.586,573206
6/23/20,0.59,0.59,0.59,0.59,0.59,195044
6/22/20,0.58,0.604,0.58,0.59,0.59,1308440
6/21/20,0.59,0.59,0.59,0.59,0.59,607
6/18/20,0.581,0.597,0.58,0.59,0.59,165393
6/17/20,0.604,0.604,0.586,0.586,0.586,102477
6/16/20,0.585,0.598,0.585,0.598,0.598,113777
6/15/20,0.599,0.6,0.599,0.6,0.6,91252
6/14/20,0,0,0,0.589,0.589,0
11/6/20,0.606,0.606,0.588,0.589,0.589,147655
10/6/20,0.609,0.609,0.587,0.587,0.587,13128
9/6/20,0.591,0.609,0.591,0.609,0.609,53800
8/6/20,0.605,0.61,0.6,0.609,0.609,770602
7/6/20,0.61,0.61,0.591,0.6,0.6,399665
4/6/20,0.609,0.61,0.6,0.6,0.6,90770
3/6/20,0.569,0.573,0.567,0.573,0.573,318255
2/6/20,0.57,0.57,0.551,0.558,0.558,296439
1/6/20,0.56,0.57,0.56,0.57,0.57,176573
5/31/20,0.545,0.555,0.545,0.555,0.555,171226
5/28/20,0.563,0.564,0.556,0.557,0.557,215301
5/27/20,0.556,0.558,0.556,0.558,0.558,250371
5/21/20,0.545,0.555,0.545,0.555,0.555,112456
5/20/20,0.55,0.55,0.545,0.545,0.545,111000
5/19/20,0.56,0.56,0.545,0.55,0.55,453389
5/18/20,0.568,0.568,0.54,0.557,0.557,814035
5/17/20,0.55,0.56,0.543,0.553,0.553,733568
5/14/20,0,0,0,0.561,0.561,0
5/13/20,0.571,0.571,0.55,0.561,0.561,243781
12/5/20,0.57,0.57,0.57,0.57,0.57,217214
11/5/20,0.573,0.577,0.573,0.574,0.574,521120
10/5/20,0.581,0.597,0.573,0.597,0.597,246628
7/5/20,0.596,0.597,0.596,0.597,0.597,520408
6/5/20,0.605,0.605,0.588,0.599,0.599,499138
5/5/20,0.6,0.615,0.59,0.615,0.615,66729
4/5/20,0.557,0.6,0.557,0.6,0.6,204328
3/5/20,0.6,0.6,0.575,0.58,0.58,381935
4/30/20,0.619,0.628,0.6,0.605,0.605,883529
4/29/20,0.62,0.627,0.595,0.611,0.611,685679
4/28/20,0.59,0.619,0.59,0.619,0.619,903763
4/27/20,0.59,0.599,0.57,0.589,0.589,881392
4/26/20,0.58,0.589,0.58,0.589,0.589,132538
4/23/20,0.578,0.58,0.57,0.58,0.58,83450
4/22/20,0.57,0.57,0.57,0.57,0.57,18658
4/21/20,0.574,0.574,0.57,0.57,0.57,60000
4/20/20,0.575,0.575,0.574,0.574,0.574,75000
4/19/20,0.579,0.6,0.579,0.6,0.6,59574
4/16/20,0.599,0.6,0.544,0.58,0.58,142582
4/15/20,0.599,0.599,0.57,0.57,0.57,88448
4/14/20,0.599,0.599,0.599,0.599,0.599,500
4/13/20,0.572,0.585,0.572,0.585,0.585,295290
12/4/20,0.58,0.599,0.58,0.599,0.599,274052
9/4/20,0.561,0.59,0.561,0.59,0.59,16000
8/4/20,0.59,0.59,0.561,0.561,0.561,1022926
7/4/20,0.55,0.59,0.548,0.59,0.59,415674
6/4/20,0.526,0.549,0.526,0.548,0.548,103449
