Date,Open,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Close,Net Change,PayoutRatio,Ticker,Industry,Name,Exchange - Market,Country of Origin,Stock Splits,Dividends
7/29/20,1.15,1.16,1.13,39,1149648,1314395.25,1.15,29/07/2020,1.13,1.15,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/28/20,1.13,1.17,1.12,87,3684050,4234262.43,1.13,28/07/2020,1.13,1.13,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/27/20,1.12,1.14,1.12,39,1131427,1278126.93,1.13,27/07/2020,1.13,1.13,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/26/20,1.12,1.14,1.11,48,1724465,1935168.86,1.13,26/07/2020,1.12,1.13,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/23/20,1.13,1.13,1.12,56,2142156,2413554.72,1.12,23/07/2020,1.13,1.12,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/22/20,1.14,1.15,1.13,101,3817924,4343273.32,1.13,22/07/2020,1.14,1.13,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/21/20,1.16,1.16,1.14,81,2361006,2711576.84,1.14,21/07/2020,1.16,1.14,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/20/20,1.15,1.16,1.15,39,1047036,1207990.25,1.16,20/07/2020,1.16,1.16,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/19/20,1.15,1.17,1.15,48,1303500,1508124.78,1.16,19/07/2020,1.16,1.16,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/16/20,1.17,1.17,1.16,38,894607,1039770.13,1.16,16/07/2020,1.18,1.16,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/15/20,1.15,1.18,1.15,86,3409827,3998512.14,1.18,15/07/2020,1.17,1.18,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/14/20,1.16,1.17,1.14,95,3298611,3785644.55,1.17,14/07/2020,1.16,1.17,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/13/20,1.17,1.17,1.15,78,2677039,3106822.59,1.16,13/07/2020,1.16,1.16,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
12/7/20,1.16,1.17,1.15,69,2540680,2939816.7,1.16,12/7/20,1.16,1.16,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
9/7/20,1.19,1.19,1.15,195,10991924,12800335.41,1.16,9/7/20,1.19,1.16,-0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/7/20,1.21,1.22,1.19,73,3583888,4312740.69,1.19,8/7/20,1.21,1.19,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/7/20,1.22,1.24,1.21,67,2045320,2494760.98,1.21,7/7/20,1.22,1.21,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/7/20,1.21,1.23,1.2,103,5641147,6869154.89,1.22,6/7/20,1.21,1.22,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/7/20,1.21,1.21,1.2,45,2005341,2412161.47,1.21,5/7/20,1.2,1.21,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/7/20,1.21,1.21,1.18,103,5035046,6033394.27,1.2,2/7/20,1.21,1.2,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
1/7/20,1.23,1.25,1.2,145,5224044,6414169.11,1.21,1/7/20,1.23,1.21,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/30/20,1.24,1.24,1.22,96,28942228,35853205.53,1.23,30/06/2020,1.23,1.23,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/29/20,1.25,1.27,1.22,415,47201704,58427735.95,1.23,29/06/2020,1.24,1.23,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/28/20,1.21,1.25,1.19,183,11169081,13686003.08,1.24,28/06/2020,1.19,1.24,0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/25/20,1.18,1.21,1.17,145,10003487,11853385.83,1.19,25/06/2020,1.2,1.19,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/24/20,1.21,1.22,1.19,165,5140714,6172305.04,1.2,24/06/2020,1.21,1.2,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/23/20,1.2,1.21,1.19,112,5776314,6953986.91,1.21,23/06/2020,1.2,1.21,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/22/20,1.15,1.22,1.15,341,29900419,35621617.87,1.2,22/06/2020,1.14,1.2,0.06,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/21/20,1.14,1.15,1.13,32,1479204,1683100.98,1.14,21/06/2020,1.13,1.14,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/18/20,1.13,1.15,1.13,81,6244348,7082311.52,1.13,18/06/2020,1.14,1.13,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/17/20,1.14,1.14,1.13,80,3907257,4429895.2,1.14,17/06/2020,1.13,1.14,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/16/20,1.15,1.16,1.13,194,12207738,13896662.28,1.13,16/06/2020,1.11,1.13,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/15/20,1.14,1.15,1.11,128,4246878,4797246.43,1.11,15/06/2020,1.15,1.11,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/14/20,1.15,1.16,1.14,122,3759614,4317646.37,1.15,14/06/2020,1.17,1.15,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
11/6/20,1.18,1.18,1.16,95,5751383,6728500.92,1.17,11/6/20,1.19,1.17,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
10/6/20,1.18,1.2,1.17,105,6032523,7192975.4,1.19,10/6/20,1.19,1.19,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
9/6/20,1.18,1.19,1.17,198,13565654,15987235.6,1.19,9/6/20,1.19,1.19,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/6/20,1.22,1.22,1.17,387,18845402,22395420.83,1.19,8/6/20,1.22,1.19,-0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/6/20,1.15,1.22,1.15,481,34469525,41306834.67,1.22,7/6/20,1.15,1.22,0.07,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/6/20,1.11,1.15,1.1,221,12154496,13710497.71,1.15,4/6/20,1.1,1.15,0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/6/20,1.12,1.13,1.1,271,9725370,10919942.95,1.1,3/6/20,1.12,1.1,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/6/20,1.07,1.14,1.07,558,30310450,33691621.54,1.12,2/6/20,1.07,1.12,0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
1/6/20,1.06,1.08,1.04,137,6461937,6891679.08,1.07,1/6/20,1.04,1.07,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/31/20,1.08,1.08,1.04,92,3518959,3724292.52,1.04,31/05/2020,1.06,1.04,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/28/20,1.05,1.08,1.05,265,13963585,14867010.22,1.06,28/05/2020,1.04,1.06,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/27/20,1.04,1.07,1.03,241,11579252,12081627,1.04,27/05/2020,1.01,1.04,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/21/20,1.02,1.03,1,158,5975813,6030479.72,1.01,21/05/2020,1.02,1.01,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/20/20,1.02,1.02,1,54,1527413,1552513.51,1.02,20/05/2020,1.01,1.02,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/19/20,1.02,1.03,1,78,2446991,2474468.83,1.01,19/05/2020,1.01,1.01,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/18/20,1.02,1.02,1,71,1443678,1457382.72,1.01,18/05/2020,1.02,1.01,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/17/20,1.02,1.03,1.01,45,1002688,1018379.08,1.02,17/05/2020,1,1.02,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/14/20,1.01,1.01,1,116,5047744,5072606.06,1,14/05/2020,1.01,1,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/13/20,1.02,1.02,1.01,72,2622981,2669662.43,1.01,13/05/2020,1.02,1.01,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
12/5/20,1.01,1.03,1.01,59,1618694,1643751.46,1.02,12/5/20,1,1.02,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
11/5/20,1.02,1.02,0.99,94,3105293,3106695.19,1,11/5/20,1.02,1,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
10/5/20,1.05,1.05,0.99,191,11314384,11370807.54,1.02,10/5/20,1.04,1.02,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/5/20,1.02,1.04,1.02,83,3513931,3632274.32,1.04,7/5/20,1.03,1.04,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/5/20,1.07,1.07,1.02,141,7658202,7932871.11,1.03,6/5/20,1.07,1.03,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/5/20,1.1,1.11,1.06,114,4259099,4605686.86,1.07,5/5/20,1.07,1.07,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/5/20,1.05,1.1,1.04,249,8804193,9287520.46,1.07,4/5/20,1.09,1.07,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/5/20,1.13,1.13,1.09,197,11017295,12067947.42,1.09,3/5/20,1.14,1.09,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/30/20,1.15,1.17,1.13,288,10333023,11865367.16,1.14,30/04/2020,1.15,1.14,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/29/20,1.15,1.16,1.13,207,8064272,9247337.73,1.15,29/04/2020,1.15,1.15,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/28/20,1.15,1.17,1.13,348,11105829,12727071.18,1.15,28/04/2020,1.16,1.15,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/27/20,1.14,1.17,1.12,234,10052554,11571421.25,1.16,27/04/2020,1.13,1.16,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/26/20,1.12,1.17,1.11,416,20415945,23198345.86,1.13,26/04/2020,1.07,1.13,0.06,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/23/20,1.03,1.07,1.03,175,10844746,11402230.66,1.07,23/04/2020,1.05,1.07,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/22/20,1.01,1.05,1.01,104,3710122,3838845.2,1.05,22/04/2020,1.02,1.05,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/21/20,1.03,1.03,1.01,136,4900552,4996074.66,1.02,21/04/2020,1.04,1.02,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/20/20,1.06,1.06,1.03,80,3094164,3212378.94,1.04,20/04/2020,1.06,1.04,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/19/20,1.05,1.06,1.02,87,2891338,3002957.42,1.06,19/04/2020,1.02,1.06,0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/16/20,1.06,1.06,1.02,144,4619080,4770767.9,1.02,16/04/2020,1.03,1.02,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/15/20,1.06,1.06,1.03,144,5093000,5302581.6,1.03,15/04/2020,1.05,1.03,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/14/20,1.05,1.07,1.04,117,4020715,4231905.13,1.05,14/04/2020,1.04,1.05,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/13/20,1.06,1.11,1.03,296,11688652,12466363.09,1.04,13/04/2020,1.03,1.04,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
12/4/20,0.929,1.04,0.929,297,14942005,14615250.97,1.03,12/4/20,0.915,1.03,0.12,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
9/4/20,0.901,0.93,0.901,157,4410064,4050815.14,0.915,9/4/20,0.902,0.915,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/4/20,0.91,0.913,0.893,207,7274470,6554858.66,0.902,8/4/20,0.9,0.902,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
7/4/20,0.922,0.927,0.89,186,8705254,7918435.83,0.9,7/4/20,0.89,0.9,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/4/20,0.92,0.92,0.881,108,3268936,2921947.26,0.89,6/4/20,0.9,0.89,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/4/20,0.888,0.93,0.879,69,2529107,2258216.92,0.9,5/4/20,0.87,0.9,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/4/20,0.904,0.91,0.87,193,6160830,5521645.83,0.87,2/4/20,0.904,0.87,-0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
1/4/20,0.969,0.969,0.904,193,7044688,6556081.97,0.904,1/4/20,0.951,0.904,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/31/20,0.94,0.96,0.94,140,5280693,4989195.47,0.951,31/03/2020,0.94,0.951,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/30/20,0.969,0.969,0.938,114,3559085,3364506.95,0.94,30/03/2020,0.94,0.94,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/29/20,0.95,0.955,0.933,86,2374007,2246799.82,0.94,29/03/2020,0.975,0.94,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/26/20,0.98,0.98,0.95,168,6702855,6436751.05,0.975,26/03/2020,0.96,0.975,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/25/20,0.91,0.98,0.89,215,12783681,12014270.13,0.96,25/03/2020,0.875,0.96,0.09,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/24/20,0.867,0.894,0.867,354,15151580,13223987.74,0.875,24/03/2020,0.912,0.875,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/23/20,0.913,0.913,0.912,98,7101404,6477008.06,0.912,23/03/2020,0.96,0.912,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/22/20,0.97,0.98,0.96,107,40106636,38503785.56,0.96,22/03/2020,1.01,0.96,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/19/20,1.01,1.03,1.01,160,12375297,12506506.29,1.01,19/03/2020,1.06,1.01,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/18/20,1.07,1.08,1.03,197,8655835,9100315.35,1.06,18/03/2020,1.04,1.06,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/17/20,1.02,1.04,0.993,261,21510534,21685963.15,1.04,17/03/2020,1.04,1.04,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/16/20,1.02,1.08,1.02,221,15234475,15938810.6,1.04,16/03/2020,1.08,1.04,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/15/20,1.12,1.19,1.07,221,11173175,12261293.38,1.08,15/03/2020,1.12,1.08,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
12/3/20,1.2,1.2,1.11,485,53418688,59859351.76,1.12,12/3/20,1.23,1.12,-0.11,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
11/3/20,1.25,1.32,1.22,225,10260242,12997145.03,1.23,11/3/20,1.22,1.23,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
10/3/20,1.14,1.23,1.12,223,10186722,12060121.44,1.22,10/3/20,1.08,1.22,0.14,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
9/3/20,1.06,1.09,1.04,179,9321021,9881223.63,1.08,9/3/20,1.15,1.08,-0.07,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/3/20,1.2,1.21,1.14,249,16709049,19500182.42,1.15,8/3/20,1.24,1.15,-0.09,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/3/20,1.33,1.34,1.23,306,19895977,25229326.71,1.24,5/3/20,1.3,1.24,-0.06,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/3/20,1.31,1.32,1.29,393,27739317,36031849.21,1.3,4/3/20,1.34,1.3,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/3/20,1.4,1.4,1.33,244,22821549,31307124.76,1.34,3/3/20,1.38,1.34,-0.04,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/3/20,1.31,1.38,1.31,185,10898927,14831782.82,1.38,2/3/20,1.3,1.38,0.08,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
1/3/20,1.34,1.35,1.3,195,12222596,16207035,1.3,1/3/20,1.4,1.3,-0.1,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/27/20,1.38,1.41,1.34,341,17305181,23755260.95,1.4,27/02/2020,1.4,1.4,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/26/20,1.41,1.41,1.37,155,14759853,20447050.8,1.4,26/02/2020,1.43,1.4,-0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
2/25/20,1.47,1.47,1.41,276,18570287,26784688.18,1.43,25/02/2020,1.48,1.43,-0.05,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/20/20,10.75,10.8,10.55,541,4989383,53140150.75,10.65,20/08/2020,10.75,10.65,-0.1,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
8/19/20,10.5,10.8,10.4,840,6784957,72446371.5,10.75,19/08/2020,10.45,10.75,0.3,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
8/18/20,10.5,10.7,10.25,655,6332132,66280300.1,10.45,18/08/2020,10.5,10.45,-0.05,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
8/17/20,10.05,10.5,10.05,1032,8472215,87656064.15,10.5,17/08/2020,10.05,10.5,0.45,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
8/16/20,9.93,10.1,9.85,238,4650048,46534131.2,10.05,16/08/2020,9.75,10.05,0.3,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
8/13/20,9.5,9.94,9.31,1411,12882450,125608411.2,9.75,13/08/2020,9.5,9.75,0.25,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
12/8/20,9.26,9.5,9.26,296,2667897,25194160.63,9.5,12/8/20,9.25,9.5,0.25,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
11/8/20,9.35,9.37,9.2,194,1845482,17110330.73,9.25,11/8/20,9.2,9.25,0.05,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
10/8/20,9.23,9.38,9.2,313,2847101,26355624.07,9.2,10/8/20,9.25,9.2,-0.05,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
9/8/20,9.15,9.4,9.01,140,2269619,20928118.14,9.25,9/8/20,9.35,9.25,-0.1,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
6/8/20,9.26,9.39,9.23,439,3153150,29465533.05,9.35,6/8/20,9.2,9.35,0.15,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
5/8/20,9.12,9.24,9.11,449,3718147,34184066.54,9.2,5/8/20,9.12,9.2,0.08,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
4/8/20,9.06,9.12,9.04,450,9913576,89933479.68,9.12,4/8/20,9.04,9.12,0.08,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
3/8/20,9.08,9.08,8.99,368,1987469,17925930.4,9.04,3/8/20,8.84,9.04,0.2,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/29/20,8.95,8.95,8.82,215,1121808,9971234.82,8.84,29/07/2020,8.87,8.84,-0.03,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/28/20,8.99,8.99,8.86,221,2842942,25223618.12,8.87,28/07/2020,9,8.87,-0.13,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/27/20,9,9,8.88,410,2446842,21937463.15,9,27/07/2020,8.93,9,0.07,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/26/20,8.95,8.95,8.93,24,136933,1223290.35,8.93,26/07/2020,8.89,8.93,0.04,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/23/20,8.96,9.01,8.85,352,3165477,28138199.11,8.89,23/07/2020,9,8.89,-0.11,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/22/20,9.13,9.13,8.96,382,3686847,33195377.89,9,22/07/2020,9.14,9,-0.14,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/21/20,8.9,9.14,8.9,507,6777983,61211561.36,9.14,21/07/2020,8.63,9.14,0.51,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/20/20,8.74,8.85,8.62,290,2741846,23989806.9,8.63,20/07/2020,8.8,8.63,-0.17,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
7/19/20,8.65,8.8,8.62,161,945010,8211231.5,8.8,19/07/2020,8.55,8.8,0.25,0,EMIRATESNBD,Banks,Emirates NBD PJSC,DFM,UAE,0,0
